"","ARID1A_mut","CHD6_mut","CHD7_mut","CREBBP_mut","EP300_mut","KDM6A_mut","CHD6_amp","CHD7_amp","PRDM9_amp","CHD3_del","CREBBP_del","HDAC4_del","PHF23_del","CHD6_ampmut","CHD7_ampmut","CREBBP_delmut","EP300CREBBP_mut","EP300CREBBP_delmut"
"CHIT1",0.0241608537377438,0.0753594170480002,0.195805183065749,0.167896218357427,0.235523533195299,-0.287620561799733,-0.309251754255915,-0.276996761850271,-0.194295902723002,-0.336335049678162,-0.256575537994782,-0.276793569109208,-0.335007936045012,-0.266951619489487,-0.240153147283409,-0.16052403233299,0.23322869204667,0.13139167063413
"KAL1",-0.148139614844634,-0.159851986185943,0.148160817224531,0.407657804896407,0.417750844473123,-0.552658054024371,-0.555689994349566,-0.538930396473903,-0.16716769068272,-0.549262492883951,-0.484279848798762,-0.565703701688169,-0.550932003614299,-0.541908094043863,-0.497388220169753,-0.272300928204855,0.457668388417705,0.233072284920408
"ME1",-0.176546563429923,0.0206514713921589,0.380060433850165,0.528838593702681,0.545728762901206,-0.496931838942482,-0.497644945653,-0.424207499211095,0.213366262985133,-0.467123766419035,-0.300806291170163,-0.448322909418839,-0.455959653284549,-0.456004708341829,-0.30714103222373,0.00370811955739325,0.576444650657221,0.476610417930711
"DNASE2B",0.169138442653013,0.126950191373168,-0.133769311037455,-0.191507817452365,-0.167754461818209,0.0614985994679533,0.0700618510645451,0.0875635869082089,-0.260704059622842,-0.00116290513603713,0.0103828816024947,0.0756145718220491,-0.00759947714510555,0.0778463707369272,0.0348972686555672,-0.079708987684257,-0.1845222588531,-0.202379269124438
"CCL7",-0.207526503478553,-0.0647545469381609,0.277850056036131,0.489986290571895,0.611662035377824,-0.675418075621539,-0.699828112584808,-0.634785952305312,0.0143828911105317,-0.721057766945934,-0.537831076821026,-0.655074925110213,-0.717247090337184,-0.649333422655395,-0.570649600575607,-0.221748373819578,0.599311208586122,0.39898179973403
"CD163",-0.228119408976593,-0.155563804851882,0.259303162582323,0.525798702485025,0.642613567897618,-0.806353187124077,-0.842147928297792,-0.783230048295488,-0.205193275594541,-0.868930421210013,-0.708086693704413,-0.806042572258594,-0.867988682169611,-0.797701379320824,-0.734539489609244,-0.37244930952683,0.648890179092969,0.359618689332482
"SCARB2",0.237262228560949,-0.177794853546328,0.0393560342503245,0.0202401452221674,0.0542249098987198,-0.129446359922413,-0.090020887877928,-0.130647828116547,-0.15509717580766,-0.0968637793030142,-0.107580698908183,-0.0275132682726527,-0.1034608998078,-0.0937813066390659,-0.135895417140923,-0.120419976740989,0.0280892662598401,-0.0542448754731223
"BCAT1",-0.0704366029405581,0.0380349492962753,0.234650272044203,0.445516067693545,0.458175655356728,-0.529071289822045,-0.533733516474779,-0.404183794950371,-0.0436056979275734,-0.574450566827958,-0.345763110756639,-0.503273824142514,-0.575603799607827,-0.471939710326018,-0.352008801814641,-0.0283385709101228,0.485681502796417,0.38516278657225
"RAI14",0.101689087594452,-0.0264503222938431,0.135543104261643,0.0614614588438837,0.0566935736646653,-0.150263563250763,-0.084323985086246,-0.0648144385380111,0.0386766746611418,-0.0914974569512179,-0.101966132025099,-0.0941104735869586,-0.0913562844384073,-0.0816865857136244,-0.0348499984628275,-0.00627254740587115,0.0808679971631216,0.0602831365811374
"COL8A2",-0.175627440261411,-0.133119495552978,0.126455587551517,0.409396576734417,0.421760214511545,-0.660473215916909,-0.675404285213001,-0.644970565796109,-0.257459615650325,-0.703951522878605,-0.638153823972895,-0.70500104068348,-0.706272476731271,-0.646637602915469,-0.637705923697582,-0.376118734740912,0.472171523012886,0.187681523292051
